"RecordNumber","Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Xaxis","Yaxis","Zaxis","WorldRegion","Country","LocationText","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages","Notes"
80456,"09880","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80457,"09890","MILITARY","APO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80459,"09892","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80460,"09898","MILITARY","APO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"ME","QA",,"ME-QA-CAMP AS SAYLIYAH - DOHA","false",,,,";Country and installation from  MPSA Ballot"
80461,"34002","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"SA","PA","SA-PA-PANAMA CITY","SA-PA-Panama City, Panama","false",,,,
80462,"34004","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80463,"34006","MILITARY","APO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80464,"34007","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"CA","SV",,"CA-SV-CSL-EL SALVADOR","false",,,,";Country and installation from  MPSA Ballot"
80465,"34008","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80467,"34011","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80469,"34020","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80470,"34021","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80471,"34022","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80472,"34023","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80473,"34024","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80474,"34025","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80475,"34030","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80476,"34031","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80477,"34032","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80478,"34033","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80479,"34034","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80480,"34035","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80481,"34036","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80482,"34037","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80483,"34038","MILITARY","APO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80484,"34039","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80485,"34041","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80486,"34042","MILITARY","APO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"CA","HN",,"CA-HN-SOTO CANO AB","false",,,,";Country and installation from  MPSA Ballot"
80487,"34050","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80488,"34055","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80489,"34058","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"CA","BS",,"CA-BS-NAVUNDERWATER SYS CEN DET - ANDROS ISLAND","false",,,,";Country and installation from  MPSA Ballot"
80490,"34060","MILITARY","DPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80491,"34078","MILITARY","APO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80492,"34090","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80493,"34091","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80494,"34092","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80495,"34093","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80496,"34095","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80497,"34098","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80498,"34099","MILITARY","FPO","AA","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80499,"96201","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-INCHEON MMT - KIMPO","false",,,,";Country and installation from  MPSA Ballot"
80500,"96202","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-K-16/ SUNGNAMK-16 SEOUL AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80501,"96203","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-YONGSAN (JUSMAG)","false",,,,";Country and installation from  MPSA Ballot"
80502,"96204","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-YONGSAN (PSC 303)","false",,,,";Country and installation from  MPSA Ballot"
80503,"96205","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-YONGSAN","false",,,,";Country and installation from  MPSA Ballot"
80504,"96206","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-YONGSAN (PSC 450)","false",,,,";Country and installation from  MPSA Ballot"
80505,"96207","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-YONGSAN (CASUAL  MAIL DIR)","false",,,,";Country and installation from  MPSA Ballot"
80506,"96209","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80507,"96213","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-DAEGU AIR BASE K-2","false",,,,";Country and installation from  MPSA Ballot"
80508,"96214","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-GIMHAE POST OFFICE","false",,,,";Country and installation from  MPSA Ballot"
80509,"96218","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-CAMP WALKER  - TAEGU","false",,,,";Country and installation from  MPSA Ballot"
80510,"96220","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80511,"96224","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-CAMP CASEY - TONGDUCHON","false",,,,";Country and installation from  MPSA Ballot"
80512,"96257","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-CAMP STANLEY  - UIJONGBU","false",,,,";Country and installation from  MPSA Ballot"
80513,"96258","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-CAMP RED CLOUD - UIJONGBU CITY","false",,,,";Country and installation from  MPSA Ballot"
80514,"96259","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80515,"96260","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-CAMP CARROLL  - WAEGWAN","false",,,,";Country and installation from  MPSA Ballot"
80516,"96262","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-KWANG - JU APO","false",,,,";Country and installation from  MPSA Ballot"
80517,"96264","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-KUNSAN AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80518,"96266","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-OSAN AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80519,"96267","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-OSAN AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80520,"96269","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-DET CHINHAE","false",,,,";Country and installation from  MPSA Ballot"
80521,"96271","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-CAMP HUMPHREYS","false",,,,";Country and installation from  MPSA Ballot"
80522,"96275","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-SUWON  AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80523,"96276","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-INCHEON  AERIAL  MAIL TERMINAL","false",,,,";Country and installation from  MPSA Ballot"
80524,"96278","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-OSAN AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80525,"96283","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-CAMP MARKET","false",,,,";Country and installation from  MPSA Ballot"
80526,"96284","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80527,"96303","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80528,"96306","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","KR",,"AS-KR-FISCY DET ATSUGI","false",,,,";Country and installation from  MPSA Ballot"
80529,"96309","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-KANSAI INT AIRPORT","false",,,,";Country and installation from  MPSA Ballot"
80530,"96310","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-MCAS IWAKUNI","false",,,,";Country and installation from  MPSA Ballot"
80531,"96319","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-MISAWA  AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80532,"96321","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-HARIO FAMILY  HOUSING  AREA","false",,,,";Country and installation from  MPSA Ballot"
80533,"96322","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-FISCY DET SASEBO","false",,,,";Country and installation from  MPSA Ballot"
80534,"96323","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-YOKOTA  AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80535,"96326","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-YOKOTA  AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80536,"96328","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-YOKOTA  AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80537,"96330","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-PCDA AAFES","false",,,,";Country and installation from  MPSA Ballot"
80538,"96336","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-NARITA  INTL AIRPORT","false",,,,";Country and installation from  MPSA Ballot"
80539,"96337","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-NEW SANNO  HOTEL","false",,,,";Country and installation from  MPSA Ballot"
80540,"96338","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-CAMP ZAMA","false",,,,";Country and installation from  MPSA Ballot"
80541,"96339","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-ORIENT SHIELD","false",,,,";Country and installation from  MPSA Ballot"
80542,"96343","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-CAMP ZAMA","false",,,,";Country and installation from  MPSA Ballot"
80543,"96346","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-NAVSHIPYD AND IMF DET YOKO","false",,,,";Country and installation from  MPSA Ballot"
80544,"96347","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-FMC YOKOHAMA","false",,,,";Country and installation from  MPSA Ballot"
80545,"96348","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-FISCY DET NEGISHI","false",,,,";Country and installation from  MPSA Ballot"
80546,"96349","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-U.S. FISC YOKOSUKA","false",,,,";Country and installation from  MPSA Ballot"
80547,"96350","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-YOKOSUKA NAVAL HOSPITAL","false",,,,";Country and installation from  MPSA Ballot"
80548,"96351","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-FISC YOKOSUKA DET","false",,,,";Country and installation from  MPSA Ballot"
80549,"96362","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-CAMP LESTER - OKINAWA NAVAL HOSPITAL","false",,,,";Country and installation from  MPSA Ballot"
80550,"96365","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-MAIL CONTROL ACTIVITY","false",,,,";Country and installation from  MPSA Ballot"
80551,"96367","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-KADENA AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80552,"96368","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-KADENA  AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80553,"96370","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-FISC YOKOSUKA DET. OKINAWA","false",,,,";Country and installation from  MPSA Ballot"
80554,"96372","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC MCB BUTLER","false",,,,";Country and installation from  MPSA Ballot"
80555,"96373","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC MCB BUTLER","false",,,,";Country and installation from  MPSA Ballot"
80556,"96374","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC MCB BUTLER","false",,,,";Country and installation from  MPSA Ballot"
80557,"96375","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-CAMP KINSER","false",,,,";Country and installation from  MPSA Ballot"
80558,"96376","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC TORII STATION","false",,,,";Country and installation from  MPSA Ballot"
80559,"96377","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC CAMP COURTNEY","false",,,,";Country and installation from  MPSA Ballot"
80560,"96378","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC CATC CAMP FUJI","false",,,,";Country and installation from  MPSA Ballot"
80561,"96379","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC CAMP FOSTER","false",,,,";Country and installation from  MPSA Ballot"
80562,"96384","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC CAMP HANSEN","false",,,,";Country and installation from  MPSA Ballot"
80563,"96386","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC MCAS FUTENMA","false",,,,";Country and installation from  MPSA Ballot"
80564,"96387","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC CAMP FUJI","false",,,,";Country and installation from  MPSA Ballot"
80565,"96388","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","JP",,"AS-JP-USMC CAMP SCHWAB","false",,,,";Country and installation from  MPSA Ballot"
80566,"96401","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","PH",,"NA-PH-ZAMBOANGA","false",,,,";Country and installation from  MPSA Ballot"
80567,"96426","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"ME","IQ",,"ME-IQ-CAMP TAQADDUM","false",,,,";Country and installation from  MPSA Ballot"
80568,"96427","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"ME","AF",,"ME-AF-USMC MOBILE  MARFORPAC","false",,,,";Country and installation from  MPSA Ballot"
80569,"96444","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80571,"96447","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","TH",,"AS-TH-COBRA GOLD - BANGKOK","false",,,,";Country and installation from  MPSA Ballot"
80572,"96501","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80573,"96502","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","ID",,"AS-ID-FISC DETACHMENT JAKARTA","false",,,,";Country and installation from  MPSA Ballot"
80574,"96503","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","TH",,"AS-TH-BANGKOK","false",,,,";Country and installation from  MPSA Ballot"
80575,"96507","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80576,"96510","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","CA",,"NA-CA-NANOOSE TEST RANGE","false",,,,";Country and installation from  MPSA Ballot"
80577,"96511","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","CA",,"NA-CA-CANADIAN FORCES STATION, BC","false",,,,";Country and installation from  MPSA Ballot"
80578,"96515","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","PH",,"NA-PH-FISC DET MANILLA","false",,,,";Country and installation from  MPSA Ballot"
80579,"96516","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","PH",,"NA-PH-FISC DET MANILLA","false",,,,";Country and installation from  MPSA Ballot"
80580,"96517","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80581,"96518","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-WAKE ISLAND","true",,,,";Country and installation from  MPSA Ballot"
80582,"96520","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80583,"96521","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80584,"96522","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","CN",,"AS-CN-FISC DET SSO HKG","false",,,,";Country and installation from  MPSA Ballot"
80585,"96530","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80586,"96531","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AU","NZ",,"PO-NZ-OL-E DET 4 PACAF AIRPS - CHRISTCHURCH","false",,,,";Country and installation from  MPSA Ballot"
80587,"96532","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80588,"96534","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","SG",,"AS-SG-FISC DET SINGAPORE","false",,,,";Country and installation from  MPSA Ballot"
80589,"96535","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80590,"96537","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80591,"96538","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80592,"96540","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80593,"96541","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80594,"96542","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80595,"96543","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80596,"96544","MILITARY","FPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","TH",,"AS-TH-CSF-536 UTAPAO BANGKOD","false",,,,";Country and installation from  MPSA Ballot"
80597,"96546","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","TH",,"AS-TH-BANGKOK APO","false",,,,";Country and installation from  MPSA Ballot"
80598,"96548","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AU","AU",,"AU-AU-ALICE SPRINGS","false",,,,";Country and installation from  MPSA Ballot"
80599,"96549","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80600,"96550","MILITARY","APO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AU","AU",,"AU-AU-NAVY MOBILE  UNIT DISPATCHING - SYDNEY","false",,,,";Country and installation from  MPSA Ballot"
80601,"96551","MILITARY","DPO","AP","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
